,date,title,url
1010,2010-08-02,亚马逊首本销量破百万电子书遭质疑,http://www.techweb.com.cn/news/2010-08-02/653008.shtml
1011,2010-08-02,亚马逊商店单本电子书首次达百万销量,http://www.techweb.com.cn/news/2010-08-02/652962.shtml
1012,2010-07-30,亚马逊称正在开发Kindle应用平台,http://www.techweb.com.cn/news/2010-07-30/652161.shtml
1013,2010-07-30,商刊：Kindle成亚马逊战略核心无惧iPad,http://www.techweb.com.cn/news/2010-07-30/652012.shtml
1014,2010-07-30,亚马逊：明年底前电子书销量可超平装书,http://www.techweb.com.cn/news/2010-07-30/651395.shtml
1015,2010-07-30,亚马逊CEO：明年底电子图书销量将超平装书,http://www.techweb.com.cn/news/2010-07-30/651377.shtml
1016,2010-07-29,亚马逊英国发售新款Kindle高配售149英镑,http://www.techweb.com.cn/news/2010-07-29/651310.shtml
1017,2010-07-29,亚马逊推出139美元WiFi版Kindle,http://www.techweb.com.cn/news/2010-07-29/650806.shtml
1018,2010-07-29,亚马逊下月将推出低价Kindle电子阅读器,http://www.techweb.com.cn/news/2010-07-29/650773.shtml
1019,2010-07-29,亚马逊发布新款Kindle电子阅读器(图),http://www.techweb.com.cn/news/2010-07-29/650657.shtml
1020,2010-07-29,亚马逊将新推两款低价Kindle：Wi-Fi版943元,http://www.techweb.com.cn/news/2010-07-29/650620.shtml
1021,2010-07-29,亚马逊打通与Facebook用户帐号联系,http://www.techweb.com.cn/news/2010-07-29/650575.shtml
1022,2010-07-29,亚马逊Kindle脱销：第三代产品或上市,http://www.techweb.com.cn/news/2010-07-29/650573.shtml
1023,2010-07-28,亚马逊189美元Kindle已售罄,http://www.techweb.com.cn/news/2010-07-28/650356.shtml
1024,2010-07-28,亚马逊整合Facebook提供个性化商品推荐,http://www.techweb.com.cn/news/2010-07-28/650049.shtml
1025,2010-07-28,亚马逊Kindle断货或为推新产品,http://www.techweb.com.cn/news/2010-07-28/649880.shtml
1026,2010-07-28,亚马逊联合Facebook打造社交购物,http://www.techweb.com.cn/news/2010-07-28/649691.shtml
1027,2010-07-28,亚马逊Kindle电子书阅读器卖断货,http://www.techweb.com.cn/news/2010-07-28/649621.shtml
1028,2010-07-28,亚马逊用户可绑定Facebook账户并获购物建议,http://www.techweb.com.cn/news/2010-07-28/649565.shtml
